Image,actual_label,predicted_label,generated_caption,Description
Cubiceps baxteri_Sp_9_L (20).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: irregular to angled, rostrum blunt and antirostrum angled, excisura moderately wide and acute notch. Posterior region: round.","Type: Sagittal, Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_L (21).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Left otolith. Shape:oval, sinuate to crenate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: irregular to angled, rostrum blunt and antirostrum angled, excisura moderately wide and acute notch. Posterior region: round.","Type: Sagittal, Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_L (22).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: irregular to angled, rostrum blunt and antirostrum angled, excisura moderately wide and acute notch. Posterior region: round.","Type: Sagittal, Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_L (23).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: irregular to angled, rostrum blunt and antirostrum angled, excisura moderately wide and acute notch. Posterior region: round.","Type: Sagittal, Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_L (24).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Left otolith. Shape:oval, sinuate to crenate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: irregular to angled, rostrum blunt and antirostrum angled, excisura moderately wide and acute notch. Posterior region: round.","Type: Sagittal, Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_L (25).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Left otolith. Shape:oval, sinuate to crenate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: irregular to angled, rostrum blunt and antirostrum angled, excisura moderately wide and acute notch. Posterior region: round.","Type: Sagittal, Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_L (26).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: irregular to angled, rostrum blunt and antirostrum angled, excisura moderately wide and acute notch. Posterior region: round.","Type: Sagittal, Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_L (27).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: irregular to angled, rostrum blunt and antirostrum angled, excisura moderately wide and acute notch. Posterior region: round.","Type: Sagittal, Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_L (28).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: irregular to angled, rostrum blunt and antirostrum angled, excisura moderately wide and acute notch. Posterior region: round.","Type: Sagittal, Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_L (29).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: irregular to angled, rostrum blunt and antirostrum angled, excisura moderately wide and acute notch. Posterior region: round.","Type: Sagittal, Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_L (3).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: irregular to angled, rostrum blunt and antirostrum angled, excisura moderately wide and acute notch. Posterior region: round.","Type: Sagittal, Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_L (30).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Left otolith. Shape:oval, sinuate to crenate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: irregular to angled, rostrum blunt and antirostrum angled, excisura moderately wide and acute notch. Posterior region: round.","Type: Sagittal, Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_L (4).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Left otolith. Shape:oval, sinuate to crenate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: irregular to angled, rostrum blunt and antirostrum angled, excisura moderately wide and acute notch. Posterior region: round.","Type: Sagittal, Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_L (5).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: irregular to angled, rostrum blunt and antirostrum angled, excisura moderately wide and acute notch. Posterior region: round.","Type: Sagittal, Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_L (6).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Left otolith. Shape:oval, sinuate to crenate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: irregular to angled, rostrum blunt and antirostrum angled, excisura moderately wide and acute notch. Posterior region: round.","Type: Sagittal, Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_L (7).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Left otolith. Shape:oval, sinuate to crenate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: irregular to angled, rostrum blunt and antirostrum angled, excisura moderately wide and acute notch. Posterior region: round.","Type: Sagittal, Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_L (8).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: irregular to angled, rostrum blunt and antirostrum angled, excisura moderately wide and acute notch. Posterior region: round.","Type: Sagittal, Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_L (9).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: irregular to angled, rostrum blunt and antirostrum angled, excisura moderately wide and acute notch. Posterior region: round.","Type: Sagittal, Side: Left otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_R (1).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Right otolith. Shape:oval, sinuate to crenate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: angled, rostrum blunt and antirostrum blunt, excisura narrow and acute notch. Posterior region: round.","Type: Sagittal, Side: Right otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_R (10).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Right otolith. Shape:oval, sinuate to crenate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: angled, rostrum blunt and antirostrum blunt, excisura narrow and acute notch. Posterior region: round.","Type: Sagittal, Side: Right otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_R (11).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Right otolith. Shape:oval, sinuate to crenate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: angled, rostrum blunt and antirostrum blunt, excisura narrow and acute notch. Posterior region: round.","Type: Sagittal, Side: Right otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_R (12).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Right otolith. Shape:oval, sinuate to crenate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: angled, rostrum blunt and antirostrum blunt, excisura narrow and acute notch. Posterior region: round.","Type: Sagittal, Side: Right otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_R (13).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Right otolith. Shape:oval, sinuate to crenate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: angled, rostrum blunt and antirostrum blunt, excisura narrow and acute notch. Posterior region: round.","Type: Sagittal, Side: Right otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_R (14).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Right otolith. Shape:oval, sinuate to crenate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: angled, rostrum blunt and antirostrum blunt, excisura narrow and acute notch. Posterior region: round.","Type: Sagittal, Side: Right otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_R (15).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Right otolith. Shape:oval, sinuate to crenate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: angled, rostrum blunt and antirostrum blunt, excisura narrow and acute notch. Posterior region: round.","Type: Sagittal, Side: Right otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_R (16).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Right otolith. Shape:oval, sinuate to crenate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: angled, rostrum blunt and antirostrum blunt, excisura narrow and acute notch. Posterior region: round.","Type: Sagittal, Side: Right otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_R (17).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Right otolith. Shape:oval, sinuate to crenate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: angled, rostrum blunt and antirostrum blunt, excisura narrow and acute notch. Posterior region: round.","Type: Sagittal, Side: Right otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_R (18).tif,Cubiceps baxteri,Brachypterois serrulata,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and entire ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: angled to peaked, rostrum blunt and antirostrum peaked, excisura wide and notch poorly defined. Posterior region: round to blunt.","Type: Sagittal, Side: Right otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_R (19).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Right otolith. Shape:oval, sinuate to crenate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: angled, rostrum blunt and antirostrum blunt, excisura narrow and acute notch. Posterior region: round.","Type: Sagittal, Side: Right otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_R (2).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Right otolith. Shape:oval, sinuate to crenate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: angled, rostrum blunt and antirostrum blunt, excisura narrow and acute notch. Posterior region: round.","Type: Sagittal, Side: Right otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_R (20).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Right otolith. Shape:oval, sinuate to crenate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: angled, rostrum blunt and antirostrum blunt, excisura narrow and acute notch. Posterior region: round.","Type: Sagittal, Side: Right otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_R (21).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Right otolith. Shape:oval, sinuate to crenate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: angled, rostrum blunt and antirostrum blunt, excisura narrow and acute notch. Posterior region: round.","Type: Sagittal, Side: Right otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_R (22).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Right otolith. Shape:oval, sinuate to crenate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: angled, rostrum blunt and antirostrum blunt, excisura narrow and acute notch. Posterior region: round.","Type: Sagittal, Side: Right otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_R (23).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Right otolith. Shape:oval, sinuate to crenate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: angled, rostrum blunt and antirostrum blunt, excisura narrow and acute notch. Posterior region: round.","Type: Sagittal, Side: Right otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_R (24).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Right otolith. Shape:oval, sinuate to crenate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: angled, rostrum blunt and antirostrum blunt, excisura narrow and acute notch. Posterior region: round.","Type: Sagittal, Side: Right otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_R (25).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Right otolith. Shape:oval, sinuate to crenate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: angled, rostrum blunt and antirostrum blunt, excisura narrow and acute notch. Posterior region: round.","Type: Sagittal, Side: Right otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_R (26).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Right otolith. Shape:oval, sinuate to crenate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: angled, rostrum blunt and antirostrum blunt, excisura wide and acute notch. Posterior region: round.","Type: Sagittal, Side: Right otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
Cubiceps baxteri_Sp_9_R (27).tif,Cubiceps baxteri,Cubiceps baxteri,"Type: Sagittal. Side: Right otolith. Shape:oval, sinuate to crenate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, markedly curved. Anterior region: angled, rostrum blunt and antirostrum blunt, excisura narrow and acute notch. Posterior region: round.","Type: Sagittal, Side: Right otolith. Shape:oval, sinuate to crenate dorsal, and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, median. Ostium: Funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum angled and antirostrum blunt, excisura moderately wide and acute notch. Posterior region: round."
